173.212.199.29 - - [27/Jan/2017:07:40:30 +0100] "PROPFIND /webdav/ HTTP/1.1" 405 568 "-" "WEBDAV Client"
189.127.32.89 - - [27/Jan/2017:11:16:46 +0100] "GET / HTTP/1.0" 200 259 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
::1 - - [27/Jan/2017:11:47:43 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
40.77.167.33 - - [27/Jan/2017:12:19:40 +0100] "GET / HTTP/1.1" 200 296 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
::1 - - [27/Jan/2017:15:25:42 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:15:29:20 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:15:36:48 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
144.217.10.5 - - [27/Jan/2017:15:36:54 +0100] "GET /w00tw00t.at.ISC.SANS.DFind:) HTTP/1.1" 400 0 "-" "-"
::1 - - [27/Jan/2017:15:37:42 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:16:03:41 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:16:04:35 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:16:05:06 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:16:24:05 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:16:31:00 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
::1 - - [27/Jan/2017:16:44:01 +0100] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.10 (Debian) (internal dummy connection)"
