tlex.fr:80 msnbot-157-55-39-169.search.msn.com - - [27/Jan/2017:07:07:56 +0100] "GET / HTTP/1.1" 200 2557 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:32 +0100] "GET /phpmyadmin/favicon.ico HTTP/1.1" 200 19205 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:32 +0100] "GET /favicon.ico HTTP/1.1" 200 462 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:36 +0100] "GET / HTTP/1.1" 200 11053 "http://tlex.fr/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:36 +0100] "GET /app/model HTTP/1.1" 200 1398 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:37 +0100] "GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 77423 "http://tlex.fr/prod/css/fa.css" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:38 +0100] "GET /fonts/DIGITALDREAM.woff?v8.71 HTTP/1.1" 200 8982 "http://tlex.fr/prod/css/global.css" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:38 +0100] "POST /call.php?appName=telex&appMethod=refresh&params=since:800,tm:dav,pagewidth:946&returnVar== HTTP/1.1" 200 348 "http://tlex.fr/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:37 +0100] "GET /phpmyadmin/index.php?token=bd0f38b218be2b025bfd02a271223895&old_usr=root HTTP/1.1" 200 4070 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:38 +0100] "GET /phpmyadmin/phpmyadmin.css.php?server=1&token=fd2243034768cacbd9c8aad9ea096680&nocache=4407798310ltr HTTP/1.1" 200 19455 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:38 +0100] "GET /phpmyadmin/js/whitelist.php?lang=fr&db=&token=fd2243034768cacbd9c8aad9ea096680 HTTP/1.1" 200 2622 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
tlex.fr:80 81-67-218-68.rev.numericable.fr - - [27/Jan/2017:10:03:38 +0100] "GET /phpmyadmin/js/messages.php?lang=fr&db=&token=fd2243034768cacbd9c8aad9ea096680 HTTP/1.1" 200 20301 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0"
